0.0002,1e-04,0.0,0.9994,1.0,0.0,0.0,1.0,0.0	0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0	0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0003,0.0	0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.6631,0.0,0.0,0.8119,1.0,0.0,0.0,0.0,1.0	1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.7525,0.0,0.0,0.78,0.0894,0.6937,0.0,0.0,1.0	1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,1e-04,0.8835,0.1279,1e-04,0.0023,0.9995	0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0002,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0	0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1e-04,1.0,1e-04,0.0,1.0,0.0,0.0,1.0,0.0	0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0	0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,1e-04,0.8695,0.1461,0.795,0.0318,0.0474	0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0002,0.9999,0.0,0.0,1.0,0.0,0.0,1.0	0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,1e-04,0.9997,0.0,0.3984,0.6329,1.0,0.4972,0.0	0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.9998,0.0,0.0,1.0,0.0,1.0,0.0,0.0	0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1e-04,1.0,0.0,0.0,1.0,1e-04,0.0,0.0,1.0	0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.9977,0.2107,0.0,0.0,1.0,0.0,0.0,0.0,1.0	1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.998,1.0,0.0,1.0,0.0,0.0	0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.9998,0.0,0.0,1.0,0.0,1.0,0.0,0.0	0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
