0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0	0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.9992,0.0,0.0,1.0,0.0,1.0,0.0,0.1566	0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9994,1e-04	0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.9899,0.0,0.0,1.0,0.9998,1e-04,1e-04	0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.1864,1.0,1.0,0.0,0.0002,0.002,0.9968	0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1e-04	0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.9995,0.0,0.0,0.0003,0.9998,0.0002,0.0038,0.0,0.9998	1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0045,0.9977,0.9278,0.0534,0.0	1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.9422,0.7099,0.0	0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.9873,0.1137,0.0	0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0	1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.9291,0.0,0.9734	0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0952,0.9145,0.9873,0.0003,0.0095	0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.9968,0.0019,1.0,0.0,0.0	1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.9924,0.001,0.0,1.0,0.999,0.0,0.9773	0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.9999,1.0,0.0,0.0,1.0,0.0	0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.0022,0.0,0.0,0.9986,1.0,0.0,0.0,0.0004,1.0	0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
